Bouake, Ivory coast, 7.739, -5.074 
Daloa, Ivory coast, 6.792, -6.473 
Korhogo, Ivory coast, 9.387, -5.556 
Man, Ivory coast, 7.272, -7.587 
San pedro, Ivory coast, 4.747, -6.661 
Yamoussoukro, Ivory coast, 6.903, -5.366 
Abuja, Nigeria, 9.007, 7.263 
Akure, Nigeria, 7.247, 5.301 
Benin, Nigeria, 6.317, 5.599 
Calabar, Nigeria, 4.976, 8.347 
Enugu, Nigeria, 6.474, 7.562 
Gusau, Nigeria, 12.172, 6.696 
Ibadan, Nigeria, 7.362, 3.978 
Ilorin, Nigeria, 8.44, 4.494 
Jos, Nigeria, 9.64, 8.869 
Kaduna, Nigeria, 10.696, 7.32 
Kano, Nigeria, 12.047, 8.524 
Maiduguri, Nigeria, 11.855, 13.081 
Makurdi, Nigeria, 7.704, 8.614 
Lagos, Nigeria, 6.577, 3.321 
Minna, Nigeria, 9.652, 6.462 
Port hartcourt, Nigeria, 5.015, 6.949 
Sokoto, Nigeria, 12.916, 5.207 
Yola, Nigeria, 9.26, 12.43 
Zaria, Nigeria, 11.13, 7.686 
Maradi, Niger, 13.502, 7.127 
Niamey, Niger, 13.481, 2.184 
Tahoua, Niger, 14.876, 5.265 
Agadez, Niger, 16.965, 7.997 
Dirkou, Niger, 18.969, 12.869 
Diffa, Niger, 13.373, 12.627 
Zinder, Niger, 13.779, 8.984 
Tanout, Niger, 14.999, 8.767 
Monastir, Tunisia, 35.758, 10.755 
Tunis, Tunisia, 36.851, 10.227 
Bizerte, Tunisia, 37.245, 9.791 
Remada, Tunisia, 32.306, 10.382 
Gafsa, Tunisia, 34.422, 8.822 
Gabes, Tunisia, 33.877, 10.103 
Bordj el amri, Tunisia, 36.721, 9.943 
Djerba, Tunisia, 33.875, 10.775 
El borma, Tunisia, 31.704, 9.254 
Sfax, Tunisia, 34.718, 10.691 
Tozeur, Tunisia, 33.94, 8.111 
Niatougou, Togo, 9.767, 1.091 
Lome, Togo, 6.166, 1.254 
Antwerp, Belgium, 51.19, 4.463 
Beauvechain, Belgium, 50.759, 4.768 
Kleine brogel, Belgium, 51.168, 5.471 
Brussels, Belgium, 50.902, 4.499 
Brasschaat, Belgium, 51.333, 4.5 
Bertrix, Belgium, 49.887, 5.229 
Charleroi, Belgium, 50.459, 4.454 
Chievres, Belgium, 50.576, 3.831 
Koksijde, Belgium, 51.09, 2.653 
Florennes, Belgium, 50.244, 4.649 
